Customer_ID,Age,Gender,CreditScore,Tenure,Balance,NumOfProducts,Education,HasTravelCard,HasCashBackCard,HasPointsCard,HasRewardsCard,HasSecuredCard,Transaction_Count,Avg_Transaction_Value,EstimatedSalary
3,61,M,783,9,199491.201076918,5,6,1,1,1,1,1,4,455.4780131798295,140573.06120417223
545,69,M,817,9,195704.8371294782,5,6,1,0,1,1,0,4,443.21439889092915,140236.9401306644
3,49,M,829,5,105183.06087484985,1,5,0,1,1,1,0,4,230.94023768074703,118841.81212729898
415,43,F,803,5,121600.92114148576,1,4,0,0,1,0,1,4,211.26030327811435,135930.3035471558
189,66,M,845,9,194538.1372605752,5,6,1,1,1,1,1,4,406.0113934769367,140411.4165381918
708,19,F,321,1,4246.6464919056925,1,2,1,1,0,1,1,1,28.817460650253174,29090.04545415335
673,42,M,804,5,114150.80253950175,1,5,1,1,0,1,0,4,128.18144274095934,130928.24788920823
616,67,F,773,9,199780.93862921768,5,6,1,1,1,1,1,4,404.981613374922,145146.48457983197
898,44,M,809,6,126530.11889305769,1,6,1,0,0,1,1,4,192.29974404463488,130188.5659202586
662,18,M,302,1,6273.2910888806,1,2,0,1,1,0,1,1,24.185701036289746,27113.447009031548
296,21,F,375,1,4226.656796778068,1,1,0,0,1,0,0,1,28.430322347959383,28570.67192690252
763,43,M,835,5,102546.33401408521,1,4,1,0,1,1,0,4,237.0852247905333,144303.5956206297
947,69,F,835,9,196893.7743502297,6,6,1,1,1,0,1,4,483.1912210057939,144621.0166470468
74,54,M,834,5,142566.28899523013,1,6,1,1,1,0,0,4,149.72498969466494,129982.18880202496
860,21,F,323,0,2755.442284487031,1,1,0,1,0,1,1,1,28.87728454827175,32585.926355682226
847,60,M,840,9,190899.3272073819,6,6,1,1,1,0,0,4,401.17004735209156,142086.7148861757
717,69,M,847,9,195985.4791051126,6,6,1,0,1,1,0,4,473.2820165452478,140645.1484547485
870,41,F,832,5,129498.37028326919,1,5,1,0,1,1,1,4,266.819037390233,115228.68382698762
727,49,F,831,6,119748.5524733278,1,6,1,0,1,1,1,4,159.21931858417463,110460.98811233536
931,23,F,337,0,5532.002160237879,1,2,0,1,1,0,0,1,48.648620805705804,21417.200540626884
393,62,M,810,9,191899.33925685522,5,6,1,1,0,1,1,4,408.6756051124681,143613.72971003456
147,44,F,822,5,101429.65069407738,1,6,0,0,1,1,1,4,237.70459435961246,141308.55956978153
145,45,M,811,5,111901.56948332718,1,5,1,0,1,1,1,4,238.18300350827172,116042.58888189282
387,64,M,845,9,191303.39883924826,5,6,1,1,1,1,1,4,416.40233515154205,148933.3514061535
486,63,F,819,9,194092.43107904805,5,6,1,1,1,0,0,4,442.7276457242664,143420.5902868482
234,19,M,324,0,7206.857337895083,1,1,0,1,1,1,0,1,39.13280736187439,46885.90611937179
680,41,M,836,6,124222.59105996315,1,5,0,1,0,1,1,4,155.3505154549831,124610.44372236296
196,21,F,347,0,4782.397371465662,1,1,0,1,1,1,0,1,43.87853597568307,23503.254303210906
688,51,M,834,6,123765.08510077128,1,6,1,0,0,1,1,4,238.70384886324527,145641.2551179301
98,47,F,838,5,106318.7250882387,1,4,0,0,1,0,1,4,144.43545446885423,144187.13966249785
974,51,F,821,6,115531.08862221659,1,4,1,1,1,1,1,4,298.7931216120365,120403.5229004364
251,54,M,809,5,106685.86996393066,1,4,0,0,1,1,0,4,284.4036588539489,129807.18472012151
360,68,F,846,9,195896.93208428464,5,6,1,0,1,0,1,4,460.5524499345355,149045.93497019468
76,62,F,827,9,190262.1506694083,6,6,1,0,1,1,0,4,433.96285540349066,149799.8365993527
511,23,M,343,0,6147.698884040109,1,1,0,1,0,1,1,1,23.31663166875096,26244.025087104113
429,69,M,803,9,197058.403241069,6,6,1,0,1,0,0,4,495.5820575625872,140708.06441530824
802,21,F,367,1,9699.222540166496,1,2,1,1,1,0,1,1,37.5542588725578,35911.7839774739
426,24,M,329,0,8603.041100609515,1,1,0,1,0,1,0,1,45.055663380508655,25132.171579123995
249,42,M,809,6,144143.97433088592,1,5,0,1,1,1,0,4,261.132385466596,141604.40655500063
500,53,F,832,5,103434.92819521483,1,6,1,1,0,1,0,4,125.66954281474779,108216.68000284702
369,44,F,829,6,120752.39102517617,1,4,0,1,1,1,0,4,252.62367353998746,145614.1481021939
