,user,item,rating
0,1,MSPP02,3
2,1,VSPP01,2
3,1,MRLP01,3
4,1,UPPP01,2
5,1,VSPP25,2
6,1,MSGT91,2
7,1,VSPP33,3
9,1,MSGT18,2
11,1,VSSS09,2
12,1,VSPP02,2
13,1,VSSS01,2
14,1,VSCA76,1
15,1,JCUM01,2
16,1,MSGT66,2
17,1,VSSS03,2
19,1,MSGT26,2
20,1,VSPP29,1
21,1,MSPP03,2
22,1,VSPP30,2
23,1,URLP01,3
24,1,MSGT25,2
25,1,MSWR07,2
26,1,VSGA17,2
27,1,MSGT68,2
28,1,MSGT20,2
29,1,MSGT30,1
30,1,VSPP03,2
32,1,VSPP20,3
33,1,MSGT55,2
34,1,VSSS04,2
36,1,VSPP34,1
37,1,VSSS07,3
38,1,JCGA73,2
42,1,MSGT40,2
43,1,VSPP60,2
44,1,VIGI06,1
45,1,MSGT02,2
50,1,VSCA25,1
51,1,VSPP04,2
53,1,CIS04,3
56,1,AIS02,2
57,1,VSSS08,3
58,1,VSPP32,2
59,1,MSGT14,2
60,1,VSPP11,1
61,1,MSGT67,2
62,1,VSPP06,2
63,1,MSGT12,3
65,1,JCGA72,2
67,1,MSGT21,2
69,1,MSGT05,1
71,1,MSWR03,1
72,1,VCBA56,2
73,1,MSGT08,2
75,1,VSPP24,2
76,1,MSGT33,2
77,1,MSGT65,2
79,1,VSPP31,2
80,1,MSGT49,2
81,1,VSSS10,2
82,1,MSGT24,2
83,1,VIGI01,2
84,1,VSPP14,2
85,1,MRLP02,2
86,1,MRLP07,2
87,1,MSGT46,2
88,1,MSGT03,2
89,1,VCBGSC,2
90,1,MSGT54,2
91,1,VRLP01,2
92,1,VCBA65,2
97,1,MSPP10,2
98,1,VSPP17,2
99,1,MSGT44,2
102,1,MSGT35,1
103,1,MSCA47,2
105,1,VCGA67,2
106,1,MSWW04,2
107,1,MSWR05,2
108,1,MSGT37,2
109,1,VSPP07,2
110,1,MSGT34,2
111,1,MSGT15,2
112,1,MSGT52,2
114,1,URLP07,2
115,1,MSGT32,3
116,1,MSGT51,1
117,1,MSGA43,1
119,1,JCGA75,2
120,1,MSGT17,2
121,1,MSGT19,2
122,1,VACM13,2
124,2,MSPP02,2
125,2,MSGT01,2
127,2,MRLP01,2
128,2,UPPP01,1
129,2,VSPP25,1
130,2,MSGT91,2
131,2,VSPP33,2
132,2,JCGA69,1
133,2,MSGT18,1
135,2,VSSS09,1
136,2,VSPP02,1
137,2,VSSS01,2
138,2,VSCA76,1
140,2,MSGT66,1
141,2,VSSS03,2
142,2,UPDD01,1
143,2,MSGT26,1
145,2,MSPP03,2
147,2,URLP01,2
148,2,MSGT25,2
151,2,MSGT68,1
152,2,MSGT20,2
153,2,MSGT30,1
155,2,VSPP36,1
156,2,VSPP20,2
157,2,MSGT55,2
158,2,VSSS04,1
160,2,VSPP34,1
161,2,VSSS07,2
162,2,JCGA73,2
163,2,MSGT62,1
164,2,MSPP15,1
166,2,MSGT40,2
168,2,VIGI06,1
169,2,MSGT02,1
170,2,VSSS02,1
173,2,MSGT07,1
174,2,VSCA25,1
175,2,VSPP04,1
176,2,MSGT28,2
178,2,CIS02,2
179,2,AIS04,2
181,2,VSSS08,2
182,2,VSPP32,1
183,2,MSGT14,1
184,2,VSPP11,1
185,2,MSGT67,2
186,2,VSPP06,2
188,2,VCGA63,2
189,2,JCGA72,1
190,2,MSGT11,2
192,2,MSGT64,1
193,2,MSGT05,1
195,2,MSWR03,1
196,2,VCBA56,1
197,2,MSGT08,2
199,2,VSPP24,1
200,2,MSGT33,1
201,2,MSGT65,1
202,2,MSWR06,1
204,2,MSGT49,1
206,2,MSGT24,1
208,2,VSPP14,1
210,2,MRLP07,2
211,2,MSGT46,2
212,2,MSGT03,2
213,2,VCBGSC,2
214,2,MSGT54,1
215,2,VRLP01,2
216,2,VCBA65,1
218,2,MSGT43,1
219,2,VSPP15,2
221,2,MSPP10,2
222,2,VSPP17,1
223,2,MSGT44,2
225,2,VSPP09,2
226,2,MSGT35,1
227,2,MSCA47,2
230,2,MSWW04,1
231,2,MSWR05,1
232,2,MSGT37,1
233,2,VSPP07,2
235,2,MSGT15,1
236,2,MSGT52,2
237,2,MSGT31,1
238,2,URLP07,1
240,2,MSGT51,1
242,2,MSGT47,1
243,2,JCGA75,2
244,2,MSGT17,1
246,2,VACM13,2
248,3,MSPP02,2
249,3,MSGT01,2
250,3,VSPP01,2
251,3,MRLP01,3
252,3,UPPP01,2
253,3,VSPP25,1
254,3,MSGT91,2
255,3,VSPP33,3
258,3,MSWR01,2
259,3,VSSS09,3
260,3,VSPP02,1
261,3,VSSS01,2
263,3,JCUM01,1
265,3,VSSS03,1
266,3,UPDD01,2
267,3,MSGT26,2
269,3,MSPP03,2
270,3,VSPP30,3
271,3,URLP01,2
272,3,MSGT25,1
274,3,VSGA17,2
276,3,MSGT20,2
278,3,VSPP03,2
279,3,VSPP36,1
281,3,MSGT55,2
282,3,VSSS04,1
283,3,MSGT16,2
285,3,VSSS07,3
287,3,MSGT62,3
288,3,MSPP15,3
289,3,VSPP37,3
290,3,MSGT40,2
292,3,VIGI06,1
293,3,MSGT02,2
294,3,VSSS02,1
297,3,MSGT07,2
298,3,VSCA25,1
299,3,VSPP04,2
300,3,MSGT28,3
302,3,CIS02,2
303,3,AIS04,2
304,3,AIS02,2
306,3,VSPP32,2
307,3,MSGT14,2
308,3,VSPP11,1
310,3,VSPP06,2
311,3,MSGT12,3
312,3,VCGA63,2
313,3,JCGA72,2
314,3,MSGT11,3
315,3,MSGT21,2
316,3,MSGT64,2
318,3,VSPP05,2
319,3,MSWR03,1
320,3,VCBA56,3
322,3,JCGA74,2
324,3,MSGT33,3
325,3,MSGT65,1
326,3,MSWR06,2
327,3,VSPP31,2
328,3,MSGT49,2
329,3,VSSS10,2
330,3,MSGT24,1
334,3,MRLP07,2
335,3,MSGT46,2
336,3,MSGT03,2
337,3,VCBGSC,2
338,3,MSGT54,2
339,3,VRLP01,2
342,3,MSGT43,1
343,3,VSPP15,2
344,3,MSGT04,2
345,3,MSPP10,2
346,3,VSPP17,2
347,3,MSGT44,2
350,3,MSGT35,1
351,3,MSCA47,2
352,3,MSGT90,1
353,3,VCGA67,2
356,3,MSGT37,3
357,3,VSPP07,3
358,3,MSGT34,2
362,3,URLP07,1
364,3,MSGT51,2
368,3,MSGT17,2
369,3,MSGT19,2
370,3,VACM13,2
371,3,VSPP18,3
372,4,MSPP02,2
373,4,MSGT01,2
374,4,VSPP01,1
376,4,UPPP01,1
377,4,VSPP25,1
378,4,MSGT91,2
379,4,VSPP33,3
381,4,MSGT18,2
382,4,MSWR01,2
383,4,VSSS09,2
384,4,VSPP02,1
385,4,VSSS01,2
386,4,VSCA76,1
389,4,VSSS03,2
390,4,UPDD01,1
391,4,MSGT26,2
392,4,VSPP29,1
393,4,MSPP03,2
395,4,URLP01,2
396,4,MSGT25,2
397,4,MSWR07,2
398,4,VSGA17,2
399,4,MSGT68,2
400,4,MSGT20,2
403,4,VSPP36,2
406,4,VSSS04,1
410,4,JCGA73,2
411,4,MSGT62,1
413,4,VSPP37,2
414,4,MSGT40,2
415,4,VSPP60,2
416,4,VIGI06,1
417,4,MSGT02,1
418,4,VSSS02,1
420,4,JCGA70,2
421,4,MSGT07,1
422,4,VSCA25,1
423,4,VSPP04,2
424,4,MSGT28,2
425,4,CIS04,2
426,4,CIS02,2
432,4,VSPP11,1
433,4,MSGT67,2
434,4,VSPP06,2
437,4,JCGA72,1
438,4,MSGT11,2
439,4,MSGT21,2
440,4,MSGT64,2
441,4,MSGT05,1
442,4,VSPP05,2
443,4,MSWR03,1
444,4,VCBA56,2
445,4,MSGT08,2
446,4,JCGA74,2
448,4,MSGT33,2
450,4,MSWR06,1
451,4,VSPP31,2
452,4,MSGT49,2
453,4,VSSS10,2
455,4,VIGI01,2
456,4,VSPP14,1
458,4,MRLP07,2
459,4,MSGT46,2
460,4,MSGT03,2
461,4,VCBGSC,2
463,4,VRLP01,2
464,4,VCBA65,2
465,4,VSSS06,2
466,4,MSGT43,1
467,4,VSPP15,2
468,4,MSGT04,1
469,4,MSPP10,2
471,4,MSGT44,2
472,4,VSPP23,1
473,4,VSPP09,2
474,4,MSGT35,1
475,4,MSCA47,2
476,4,MSGT90,1
477,4,VCGA67,2
480,4,MSGT37,2
481,4,VSPP07,2
482,4,MSGT34,1
483,4,MSGT15,2
484,4,MSGT52,2
485,4,MSGT31,1
486,4,URLP07,1
487,4,MSGT32,2
489,4,MSGA43,1
490,4,MSGT47,1
491,4,JCGA75,2
492,4,MSGT17,2
493,4,MSGT19,2
495,4,VSPP18,2
496,5,MSPP02,2
499,5,MRLP01,2
500,5,UPPP01,1
501,5,VSPP25,1
502,5,MSGT91,2
505,5,MSGT18,1
506,5,MSWR01,2
508,5,VSPP02,1
509,5,VSSS01,1
510,5,VSCA76,1
512,5,MSGT66,2
513,5,VSSS03,1
514,5,UPDD01,1
515,5,MSGT26,1
516,5,VSPP29,1
517,5,MSPP03,1
518,5,VSPP30,2
521,5,MSWR07,1
522,5,VSGA17,2
525,5,MSGT30,1
527,5,VSPP36,1
529,5,MSGT55,2
530,5,VSSS04,1
531,5,MSGT16,2
532,5,VSPP34,1
533,5,VSSS07,2
535,5,MSGT62,2
536,5,MSPP15,2
538,5,MSGT40,2
540,5,VIGI06,1
541,5,MSGT02,2
542,5,VSSS02,1
543,5,MSGT10,1
544,5,JCGA70,1
545,5,MSGT07,1
546,5,VSCA25,1
548,5,MSGT28,2
549,5,CIS04,2
551,5,AIS04,2
553,5,VSSS08,2
554,5,VSPP32,2
556,5,VSPP11,1
558,5,VSPP06,1
561,5,JCGA72,2
562,5,MSGT11,2
563,5,MSGT21,2
564,5,MSGT64,2
566,5,VSPP05,2
567,5,MSWR03,1
568,5,VCBA56,2
569,5,MSGT08,2
572,5,MSGT33,2
573,5,MSGT65,1
574,5,MSWR06,1
575,5,VSPP31,1
577,5,VSSS10,2
579,5,VIGI01,1
580,5,VSPP14,1
582,5,MRLP07,2
583,5,MSGT46,1
584,5,MSGT03,2
588,5,VCBA65,2
590,5,MSGT43,1
592,5,MSGT04,1
593,5,MSPP10,2
594,5,VSPP17,1
595,5,MSGT44,1
596,5,VSPP23,1
597,5,VSPP09,2
598,5,MSGT35,1
599,5,MSCA47,2
601,5,VCGA67,2
602,5,MSWW04,1
603,5,MSWR05,1
604,5,MSGT37,2
605,5,VSPP07,2
606,5,MSGT34,1
607,5,MSGT15,2
608,5,MSGT52,2
610,5,URLP07,1
611,5,MSGT32,2
612,5,MSGT51,1
613,5,MSGA43,1
614,5,MSGT47,1
615,5,JCGA75,2
616,5,MSGT17,1
618,5,VACM13,2
622,6,VSPP01,1
623,6,MRLP01,2
624,6,UPPP01,1
626,6,MSGT91,2
627,6,VSPP33,2
630,6,MSWR01,2
631,6,VSSS09,1
633,6,VSSS01,2
634,6,VSCA76,1
636,6,MSGT66,1
637,6,VSSS03,2
638,6,UPDD01,1
639,6,MSGT26,1
642,6,VSPP30,1
643,6,URLP01,2
645,6,MSWR07,2
647,6,MSGT68,2
648,6,MSGT20,2
649,6,MSGT30,1
650,6,VSPP03,1
651,6,VSPP36,1
653,6,MSGT55,2
654,6,VSSS04,1
656,6,VSPP34,1
657,6,VSSS07,2
658,6,JCGA73,1
659,6,MSGT62,1
660,6,MSPP15,1
661,6,VSPP37,2
663,6,VSPP60,2
664,6,VIGI06,1
665,6,MSGT02,1
669,6,MSGT07,1
670,6,VSCA25,1
672,6,MSGT28,2
674,6,CIS02,2
675,6,AIS04,2
680,6,VSPP11,1
681,6,MSGT67,1
682,6,VSPP06,2
683,6,MSGT12,2
684,6,VCGA63,2
685,6,JCGA72,1
686,6,MSGT11,2
687,6,MSGT21,2
688,6,MSGT64,1
689,6,MSGT05,1
690,6,VSPP05,2
691,6,MSWR03,1
692,6,VCBA56,2
694,6,JCGA74,1
695,6,VSPP24,2
696,6,MSGT33,2
697,6,MSGT65,1
698,6,MSWR06,1
700,6,MSGT49,1
702,6,MSGT24,1
703,6,VIGI01,2
705,6,MRLP02,1
706,6,MRLP07,2
708,6,MSGT03,2
710,6,MSGT54,1
711,6,VRLP01,2
714,6,MSGT43,1
715,6,VSPP15,1
717,6,MSPP10,2
718,6,VSPP17,1
719,6,MSGT44,1
720,6,VSPP23,1
721,6,VSPP09,2
722,6,MSGT35,1
723,6,MSCA47,2
724,6,MSGT90,1
726,6,MSWW04,2
727,6,MSWR05,1
728,6,MSGT37,1
730,6,MSGT34,1
731,6,MSGT15,2
732,6,MSGT52,2
733,6,MSGT31,1
734,6,URLP07,1
735,6,MSGT32,2
737,6,MSGA43,1
738,6,MSGT47,1
739,6,JCGA75,2
740,6,MSGT17,2
742,6,VACM13,2
743,6,VSPP18,1
744,7,MSPP02,3
745,7,MSGT01,3
746,7,VSPP01,2
748,7,UPPP01,2
749,7,VSPP25,2
750,7,MSGT91,3
751,7,VSPP33,3
752,7,JCGA69,2
753,7,MSGT18,2
756,7,VSPP02,2
758,7,VSCA76,2
760,7,MSGT66,2
761,7,VSSS03,2
762,7,UPDD01,2
764,7,VSPP29,2
765,7,MSPP03,2
766,7,VSPP30,3
767,7,URLP01,2
768,7,MSGT25,2
769,7,MSWR07,2
771,7,MSGT68,2
772,7,MSGT20,2
775,7,VSPP36,2
777,7,MSGT55,3
780,7,VSPP34,2
781,7,VSSS07,3
783,7,MSGT62,3
784,7,MSPP15,3
785,7,VSPP37,3
789,7,MSGT02,2
791,7,MSGT10,2
792,7,JCGA70,1
793,7,MSGT07,2
794,7,VSCA25,1
796,7,MSGT28,3
797,7,CIS04,3
798,7,CIS02,3
799,7,AIS04,3
801,7,VSSS08,3
802,7,VSPP32,2
803,7,MSGT14,2
807,7,MSGT12,3
808,7,VCGA63,2
810,7,MSGT11,3
811,7,MSGT21,2
812,7,MSGT64,2
813,7,MSGT05,1
814,7,VSPP05,3
816,7,VCBA56,2
817,7,MSGT08,3
818,7,JCGA74,2
820,7,MSGT33,3
821,7,MSGT65,2
822,7,MSWR06,2
823,7,VSPP31,2
824,7,MSGT49,2
825,7,VSSS10,2
826,7,MSGT24,2
827,7,VIGI01,2
828,7,VSPP14,2
830,7,MRLP07,2
831,7,MSGT46,2
832,7,MSGT03,3
833,7,VCBGSC,2
835,7,VRLP01,2
837,7,VSSS06,2
838,7,MSGT43,1
839,7,VSPP15,2
840,7,MSGT04,2
842,7,VSPP17,2
844,7,VSPP23,1
845,7,VSPP09,3
846,7,MSGT35,1
847,7,MSCA47,2
848,7,MSGT90,2
849,7,VCGA67,3
850,7,MSWW04,2
852,7,MSGT37,3
853,7,VSPP07,3
854,7,MSGT34,2
855,7,MSGT15,2
856,7,MSGT52,2
857,7,MSGT31,1
858,7,URLP07,1
859,7,MSGT32,3
861,7,MSGA43,1
863,7,JCGA75,3
865,7,MSGT19,2
868,8,MSPP02,2
869,8,MSGT01,2
870,8,VSPP01,2
871,8,MRLP01,3
872,8,UPPP01,1
873,8,VSPP25,1
874,8,MSGT91,2
875,8,VSPP33,3
878,8,MSWR01,2
879,8,VSSS09,2
880,8,VSPP02,1
881,8,VSSS01,2
882,8,VSCA76,1
884,8,MSGT66,2
885,8,VSSS03,1
886,8,UPDD01,1
887,8,MSGT26,2
889,8,MSPP03,2
891,8,URLP01,2
894,8,VSGA17,2
895,8,MSGT68,2
896,8,MSGT20,2
898,8,VSPP03,2
899,8,VSPP36,1
900,8,VSPP20,2
901,8,MSGT55,2
902,8,VSSS04,1
904,8,VSPP34,2
905,8,VSSS07,2
907,8,MSGT62,2
908,8,MSPP15,2
909,8,VSPP37,2
912,8,VIGI06,1
913,8,MSGT02,1
914,8,VSSS02,2
915,8,MSGT10,2
916,8,JCGA70,1
918,8,VSCA25,1
919,8,VSPP04,2
920,8,MSGT28,2
921,8,CIS04,2
924,8,AIS02,1
925,8,VSSS08,2
928,8,VSPP11,1
930,8,VSPP06,2
932,8,VCGA63,2
935,8,MSGT21,2
936,8,MSGT64,1
937,8,MSGT05,1
939,8,MSWR03,1
940,8,VCBA56,2
941,8,MSGT08,2
942,8,JCGA74,2
943,8,VSPP24,2
944,8,MSGT33,2
945,8,MSGT65,1
947,8,VSPP31,2
948,8,MSGT49,2
949,8,VSSS10,2
952,8,VSPP14,2
953,8,MRLP02,1
954,8,MRLP07,2
955,8,MSGT46,2
956,8,MSGT03,2
959,8,VRLP01,2
960,8,VCBA65,2
961,8,VSSS06,2
962,8,MSGT43,1
963,8,VSPP15,2
964,8,MSGT04,1
965,8,MSPP10,2
967,8,MSGT44,2
969,8,VSPP09,2
970,8,MSGT35,2
971,8,MSCA47,2
972,8,MSGT90,1
973,8,VCGA67,2
974,8,MSWW04,1
976,8,MSGT37,2
978,8,MSGT34,1
